module,number of nodes,tasks per node,iteration,mode,model,seed,person count,item count,iterations,burnin,batch size,mean,variance,unif,size,time in seconds,a correlation,g correlation,th correlation
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,8,2.709,0.961041,0.994473,0.852574
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,8,1.662,0.961041,0.994473,0.852574
openmpi,2,4,3,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,8,1.663,0.961042,0.994473,0.852574
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,8,1.708,0.982573,0.995431,0.933887
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,8,1.71,0.982573,0.995431,0.933887
openmpi,2,4,3,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,8,1.707,0.982573,0.995431,0.933887
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,8,1.84,0.964259,0.992984,0.967
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,8,1.841,0.964259,0.992984,0.967
openmpi,2,4,3,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,8,1.84,0.964259,0.992984,0.967
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,2.061,0.975676,0.994833,0.985862
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,2.026,0.961175,0.994466,0.852742
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,1.343,0.961175,0.994466,0.852742
openmpi,2,2,3,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,1.344,0.961175,0.994466,0.852742
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.382,0.981894,0.995311,0.933731
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.377,0.981894,0.995311,0.933731
openmpi,2,2,3,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.379,0.981894,0.995311,0.933731
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,4,1.521,0.964922,0.993024,0.967359
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,4,1.52,0.964922,0.993024,0.967359
openmpi,2,2,3,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,4,1.517,0.964922,0.993024,0.967359
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,1.66,0.975669,0.9948,0.985827
